,Name,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,Name16S,quality
Beef528,Beef 528,BRD,IN,Farm3,11/4/20,104.1,7477736.75,2.278753601,190,0,2.826074803,0,670,5.99227411,1,982367.78,3.494601187,1,3123.21,Beef528,Dirty
Beef529,Beef 529,Healthy,IN,Farm3,11/4/20,102.7,40784085.92,3.857586166,7204.206724,1,4.332342096,1,21495.23,3.874917054,1,7497.51,5.46194857,1,289700.05,Beef529,Dirty
Beef53,Beef 53,Healthy,TX,Farm1,3/15/21,103,2.54E+11,5.061657472,115254.3888,1,2.826074803,0,670,3.47776406,1,3004.443632,3.421976615,1,2642.266476,Beef53,Dirty
Beef530,Beef 530,BRD,IN,Farm3,11/4/20,105.6,34582234.2,3.574524598,3754.262174,1,4.990625403,1,97864.55,5.995728523,1,990212.77,5.580159167,1,380328.76,Beef530,Dirty
Beef531,Beef 531,BRD,IN,Farm3,11/4/20,104.6,38747282.32,6.760016265,5754614.882,1,5.948564028,1,888308.93,4.154936789,1,14286.86,5.947430178,1,885992.77,Beef531,Dirty
Beef532,Beef 532,Healthy,IN,Farm3,11/4/20,102.2,48828715.51,6.622546204,4193206.053,1,2.826074803,0,670,4.262511365,1,18302.54,6.128722501,1,1345000.67,Beef532,Dirty
Beef533,Beef 533,Healthy,IN,Farm3,11/4/20,103.4,13915064.83,4.744455759,55520.80554,1,2.826074803,0,670,2.230448921,0,170,5.269000829,1,185780.8,Beef533,Dirty
Beef534,Beef 534,BRD,IN,Farm3,11/4/20,104.1,4.63E+12,7.839570261,69114673.62,1,6.475685414,1,2990097.94,5.783276292,1,607122.45,6.249640024,1,1776806.05,Beef534,Dirty
Beef535,Beef 535,Healthy,IN,Farm3,11/4/20,102.9,260220433,5.942397567,875785.1302,1,3.389662138,1,2452.8,5.118428027,1,131349.38,5.013103791,1,103063.24,Beef535,Dirty
Beef536,Beef 536,BRD,IN,Farm3,11/4/20,105.1,151065545.1,5.22714329,168710.9575,1,4.188462456,1,15433.43,4.447981324,1,28053.13,5.187374756,1,153948.25,Beef536,Dirty
Beef537,Beef 537,Healthy,IN,Farm3,11/11/20,102.9,15453924.63,5.289308445,194674.2208,1,3.968991662,1,9310.9,5.111616192,1,129305.26,5.723633852,1,529217.08,Beef537,Dirty
Beef538,Beef 538,BRD,IN,Farm3,11/11/20,106.5,2929162.17,5.877018389,753387.4633,1,4.824465519,1,66752.19,4.109111607,1,12856.17,4.300954856,1,19996.54,Beef538,Dirty
Beef539,Beef 539,Healthy,IN,Farm3,11/11/20,106.6,188202144.7,5.952401269,896192.4261,1,3.95409048,1,8996.85,5.515975322,1,328076.65,6.04298115,1,1104030.7,Beef539,Dirty
Beef540,Beef 540,Healthy,IN,Farm3,11/11/20,102.9,10689216.52,5.587333958,386664.1949,1,2.826074803,0,670,2.230448921,0,170,4.269667255,1,18606.61,Beef540,Dirty
Beef541,Beef 541,Healthy,IN,Farm3,11/11/20,103.8,350946213.4,3.724116778,5298.058849,1,4.410474724,1,25732.07,2.230448921,0,170,4.989821301,1,97683.52,Beef541,Dirty
Beef542,Beef 542,BRD,IN,Farm3,11/11/20,104.4,78215574.15,6.284006373,1923119.951,1,5.581601936,1,381594.35,5.658063213,1,455054.29,6.144803072,1,1395735.33,Beef542,Dirty
Beef543,Beef 543,Healthy,IN,Farm3,11/11/20,103.2,408908380.3,5.534228033,342159.0511,1,6.756151364,1,5703630.26,2.230448921,0,170,5.720260048,1,525121.8,Beef543,Dirty
Beef544,Beef 544,Healthy,IN,Farm3,11/11/20,104,38502304.75,6.471243132,2959668.918,1,4.271435921,1,18682.54,4.897362531,1,78951.89,5.60817225,1,405669.4,Beef544,Dirty
