Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID
Dairy 332,Healthy,CA,Farm2,calf,07/14-15/2022,101.4,742628005.9,3.023029832,1054.459327,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy332
Dairy 333,Healthy,CA,Farm2,calf,07/14-15/2022,102.3,51461981.47,4.214457657,16385.42299,1,2.826074803,670,0,2.230448921,170,0,3.817549278,6569.75657,1,Dairy333
Dairy 334,Healthy,CA,Farm2,calf,07/14-15/2022,102.1,1968376377,4.564079491,36650.46517,1,2.826074803,670,0,2.230448921,170,0,8.741276476,551158457.8,1,Dairy334
Dairy 335,Healthy,CA,Farm2,calf,07/14-15/2022,102.9,1284293255,3.22838947,1691.957579,1,2.826074803,670,0,2.230448921,170,0,8.188325039,154285474.1,1,Dairy335
Dairy 336,Healthy,CA,Farm2,calf,07/14-15/2022,102.2,575102443.1,3.030629026,1073.072403,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy336
Dairy 337,Healthy,CA,Farm2,calf,07/14-15/2022,103,183084301.2,5.299447237,199272.4392,1,2.826074803,670,0,2.230448921,170,0,4.384757655,24252.56378,1,Dairy337
Dairy 338,Healthy,CA,Farm2,calf,07/14-15/2022,102.8,97968476.05,6.216177258,1645043.015,1,2.826074803,670,0,2.230448921,170,0,3.756518115,5708.448868,1,Dairy338
Dairy 340,Healthy,CA,Farm2,calf,07/14-15/2022,102.5,803943132.5,3.029633031,1070.614279,1,6.548907682,3539221,1,2.230448921,170,0,8.279478039,190317199.6,1,Dairy340
Dairy 341,Healthy,CA,Farm2,calf,07/14-15/2022,102,18779794.78,3.119690297,1317.317,1,2.826074803,670,0,2.230448921,170,0,4.366241362,23240.28031,1,Dairy341
Dairy 342,Healthy,CA,Farm2,calf,07/14-15/2022,101.9,808277383.2,5.918317647,828547.9505,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy342
Dairy 343,Healthy,CA,Farm2,calf,07/14-15/2022,101.9,260804089.6,2.950231443,891.7260287,1,2.826074803,670,0,2.230448921,170,0,4.830760312,67726.76189,1,Dairy343
Dairy 344,Healthy,CA,Farm2,calf,07/14-15/2022,102.6,433388929.4,2.891443306,778.8311363,1,2.826074803,670,0,6.446340999,2794737.352,1,8.453280987,283975574.4,1,Dairy344
Dairy 345,Healthy,CA,Farm2,calf,07/14-15/2022,102.2,641261923.3,4.97907721,95296.55691,1,2.826074803,670,0,4.995010393,98857.67525,1,3.812982038,6501.028014,1,Dairy345
Dairy 346,Healthy,CA,Farm2,calf,07/14-15/2022,102.2,409388298.6,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy346
Dairy 347,Healthy,CA,Farm2,calf,07/14-15/2022,102.3,34216442.68,2.967448778,927.7880578,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy347
Dairy 348,Healthy,CA,Farm2,calf,07/14-15/2022,102.7,3787337077,3.059775,1147.558937,1,2.826074803,670,0,2.230448921,170,0,3.128036273,1342.877115,1,Dairy348
Dairy 349,Healthy,CA,Farm2,calf,07/14-15/2022,103.8,652393175.7,3.487514848,3072.662417,1,2.826074803,670,0,2.230448921,170,0,7.799265518,62989116.63,1,Dairy349
Dairy 351,Healthy,CA,Farm2,calf,07/14-15/2022,102.2,339570249.2,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,5.263131206,183286.8073,1,Dairy351
Dairy 352,Healthy,CA,Farm2,calf,07/14-15/2022,102.7,5205039881,5.660350978,457457.7379,1,2.826074803,670,0,6.947436866,8860064.143,1,8.604612929,402358267.3,1,Dairy352
Dairy 355,Healthy,CA,Farm2,calf,07/14-15/2022,101.8,199997264.6,3.169411438,1477.105236,1,2.826074803,670,0,2.230448921,170,0,7.150969127,14156931.37,1,Dairy355
Dairy 356,Healthy,CA,Farm2,calf,07/14-15/2022,101.9,128040305.7,3.027493798,1065.353651,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy356
Dairy 357,Healthy,CA,Farm2,calf,07/14-15/2022,101.7,995815969.8,5.968855999,930799.1949,1,2.826074803,670,0,2.230448921,170,0,4.009011099,10209.65576,1,Dairy357
Dairy 358,Healthy,CA,Farm2,calf,07/14-15/2022,102.2,380132264.9,4.857732247,72066.30355,1,2.826074803,670,0,2.230448921,170,0,4.302436435,20064.87393,1,Dairy358
