Name,Status,State,Farm,animal,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Dairy 253,Healthy,TX,Farm1,calf,1/1/22,102.2,3557451.29,4.054578286,11339.09219,1,2.826074803,670,0,4.907330794,80785.01207,1,4.957921091,90765.55989,1,Dairy253,0.00318742,0.02551421,0.000188337,0.022708677,183559.6642,0.061773333,0.494474428,0.003650039,0.4401022,6.551139084
Dairy 254,BRD,TX,Farm1,calf,1/1/22,102.6,1263484.41,3.904767314,8030.957248,1,3.366424637,2325.008992,1,2.230448921,170,0,2.278753601,190,0,Dairy254,0.006356198,0.000150378,0.001840156,0.000134549,10715.96624,0.749438461,0.017730552,0.216966808,0.015864178,6.101570231
Dairy 255,Healthy,TX,Farm1,calf,1/1/22,101.7,36041376.31,4.629047279,42564.47481,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy255,0.001180989,5.27E-06,1.86E-05,4.72E-06,43594.47481,0.976373153,0.00435835,0.01536892,0.003899577,7.556801379
Dairy 256,BRD,TX,Farm1,calf,1/1/22,102,2813741.5,5.114063375,130035.932,1,2.826074803,670,0,4.07751513,11954.05172,1,4.283558343,19211.37028,1,Dairy256,0.046214598,0.006827696,0.000238117,0.004248454,161871.354,0.803328871,0.118682953,0.004139089,0.073849087,6.44928435
Dairy 257,BRD,TX,Farm1,calf,1/1/22,102.5,305768587.2,7.044319102,11074371.85,1,2.826074803,670,0,2.230448921,170,0,4.652128013,44887.76823,1,Dairy257,0.036218148,0.000146803,2.19E-06,5.56E-07,11120099.62,0.995887827,0.004036634,6.03E-05,1.53E-05,8.485392868
Dairy 258,Healthy,TX,Farm1,calf,1/1/22,103.1,2395705.91,6.558465475,3617974.277,1,2.826074803,670,0,4.527768403,33710.74908,1,5.256512655,180514.7338,1,Dairy258,1.510191323,0.075349288,0.000279667,0.014071322,3832869.76,0.943933529,0.047096496,0.000174804,0.008795172,6.379433686
Dairy 259,Healthy,TX,Farm1,calf,1/1/22,102.4,31606365.67,6.015897591,1037283.789,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy259,0.032818825,6.01E-06,2.12E-05,5.38E-06,1038313.789,0.999008007,0.000182989,0.000645277,0.000163727,7.499774574
Dairy 260,BRD,TX,Farm1,calf,1/1/22,105,47980178.94,7.091105114,12334033.23,1,2.826074803,670,0,5.004634658,101072.8841,1,5.760833702,576545.6531,1,Dairy260,0.257065178,0.01201633,1.40E-05,0.002106555,13012321.77,0.947873366,0.04430767,5.15E-05,0.007767475,7.681061872
Dairy 285,Healthy,TX,Farm1,calf,1/1/22,102.2,3498858.04,3.381368661,2406.404665,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy285,0.000687769,5.43E-05,0.000191491,4.86E-05,3436.404665,0.700268129,0.055290345,0.194971217,0.049470309,6.543926446
Dairy 286,BRD,TX,Farm1,calf,1/1/22,102.3,27400127.77,3.68974209,4894.880462,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy286,0.000178644,6.93E-06,2.45E-05,6.20E-06,5924.880462,0.82615683,0.032068158,0.11308245,0.028692562,7.437752604
Dairy 287,Healthy,TX,Farm1,calf,1/1/22,102.2,3688539.15,3.472508113,2968.302196,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy287,0.000804737,5.15E-05,0.000181644,4.61E-05,3998.302196,0.742390657,0.04752017,0.167571126,0.042518047,6.566854515
Dairy 288,BRD,TX,Farm1,calf,1/1/22,102.2,10055396.58,3.74779181,5594.893324,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy288,0.000556407,1.89E-05,6.66E-05,1.69E-05,6624.893324,0.844525798,0.028679707,0.101133704,0.025660791,7.002399247
