"","Name","Status","State","Farm","animal","Date.of.colleciton","RectaTemp","X16S.copies","Hscopy_log","HScopies","HSpre_abs","MBcopy_log","MBcopies","MBpre_abs","MHcopy_log","MHcopies","MHpre_abs","PMcopy_log","PMcopies","PMpre_abs","ID","HSRel","PMRel","MBRel","MHRel","BactABund","HSRelBact","PMRelBact","MBRelBact","MHRelBact","X16S_log"
"34","Dairy 237","Healthy","TX","Full Circle","calf","1/1/22",102.3,631822.95,6.285018592,1927607.432,1,2.826074803,670,0,2.230448921,170,0,3.934161956,8593.339232,1,"Dairy237",3.05086643655473,0.0136008659261269,0.00106042365191071,0.000269062717648987,1937040.771232,0.995130025463532,0.00443632336480685,0.000345888434539179,8.77627371218812e-05,5.8005960843037
"35","Dairy 238","BRD","TX","Full Circle","calf","1/1/22",102.3,3496147.11,5.745001561,555906.255,1,2.826074803,670,0,4.240395899,17393.85715,1,4.038810666,10934.79553,1,"Dairy238",0.159005395799835,0.00312767031419339,0.000191639533154542,0.00497515024475043,584904.90768,0.950421594520344,0.0186949970609281,0.0011454853450581,0.0297379230736702,6.54358982270184
"36","Dairy 239","Healthy","TX","Full Circle","calf","1/1/22",101.5,5431254.09,4.58167879,38166.18842,1,2.826074803,670,0,4.880398617,75927.4155,1,2.278753601,190,0,"Dairy239",0.00702714102259944,3.49827124364936e-05,0.000123360091223425,0.0139797207499088,114953.60392,0.332013848357126,0.00165284074201125,0.00582843840603967,0.660504872494823,6.73490020079995
"37","Dairy 240","BRD","TX","Full Circle","calf","1/1/22",102.1,29984283.47,6.572769229,3739118.502,1,4.650162221,44685.04719,1,3.835570299,6848.103238,1,6.025091376,1059476.616,1,"Dairy240",0.124702613145353,0.0353343983377169,0.0014902823085537,0.000228389757749312,4850128.268428,0.77093187954221,0.218443009620319,0.00921316813018702,0.00141194270728423,7.47689368951069
"38","Dairy 241","BRD","TX","Full Circle","calf","1/1/22",102.7,1132230.26,4.591710007,39058.00052,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,"Dairy241",0.0344965170953831,0.000167810388674827,0.000591752423221757,0.000150146137235371,40088.00052,0.974306525976866,0.00473957287805383,0.0167132306752425,0.00424067046983764,6.05393514123758
"39","Dairy 242","Healthy","TX","Full Circle","calf","1/1/22",102.8,6193278.97,6.655407747,4522803.787,1,2.826074803,670,0,4.104595949,12723.18814,1,2.278753601,190,0,"Dairy242",0.730276128188038,3.06784178333242e-05,0.000108181789201722,0.00205435411542587,4536386.97514,0.997005725434263,4.18835520517154e-05,0.000147694630919207,0.00280469638276557,6.79192071293026
"40","Dairy 243","Healthy","TX","Full Circle","calf","1/1/22",102.3,916095.54,4.451285646,28267.38575,1,2.826074803,670,0,2.230448921,170,0,3.510770792,3241.684855,1,"Dairy243",0.0308563730699966,0.00353858818590035,0.000731364765731749,0.000185570164439399,32349.070605,0.873823736550591,0.10020952053253,0.0207115687551296,0.00525517416174931,5.96194124286004
"41","Dairy 244","BRD","TX","Full Circle","calf","1/1/22",101.7,35556617.53,6.042074421,1101728.086,1,2.826074803,670,0,5.339299878,218423.7595,1,2.278753601,190,0,"Dairy244",0.0309851769525165,5.34359039747502e-06,1.88431871910961e-05,0.00614298475707681,1321011.8455,0.834003184568719,0.000143829141765255,0.000507186973593266,0.165345799315923,7.55092045242219
"42","Dairy 245","Healthy","TX","Full Circle","calf","1/1/22",103.3,12594452.96,6.920434875,8325970.63,1,4.515209602,32749.87161,1,4.72224663,52752.93534,1,3.900918199,7960.094058,1,"Dairy245",0.661082355576959,0.000632031743123839,0.0026003409369199,0.0041885848879299,8419433.531008,0.988899146164194,0.000945442947994506,0.00388979513756896,0.00626561575024208,7.10017934314818
"43","Dairy 246","Healthy","TX","Full Circle","calf","1/1/22",101.8,1254517.03,6.056457371,1138825.992,1,3.496987228,3140.416336,1,2.230448921,170,0,2.278753601,190,0,"Dairy246",0.907780416500205,0.000151452706863613,0.00250328713034689,0.000135510316667443,1142326.408336,0.996935712673316,0.000166327241157603,0.00274914097501656,0.000148819110509434,6.09847690739893
"44","Dairy 247","BRD","TX","Full Circle","calf","1/1/22",101.7,7000749.58,5.876922662,753221.4194,1,3.704097045,5059.377035,1,4.531790972,34024.4389,1,4.847265203,70350.17835,1,"Dairy247",0.107591538704917,0.0100489494083575,0.000722690760065724,0.00486011369371107,862655.413685,0.8731428649853,0.0815507295659174,0.00586488759560192,0.0394415178531808,6.84514460505385
"45","Dairy 248","BRD","TX","Full Circle","calf","1/1/22",101.8,20020994.03,5.954574272,900687.7835,1,2.826074803,670,0,3.133053338,1358.480278,1,2.278753601,190,0,"Dairy248",0.0449871660792858,9.49003829256923e-06,3.34648718737968e-05,6.78527887258952e-05,902906.263778,0.997542956155031,0.000210431589216127,0.000742048235656869,0.00150456402009635,7.3014856578236
"46","Dairy 249","Healthy","TX","Full Circle","calf","1/1/22",101.6,2361256.45,4.015910519,10373.14669,1,2.826074803,670,0,3.906869102,8069.917639,1,5.419530718,262742.7358,1,"Dairy249",0.00439306229952278,0.111272426931857,0.000283747239737556,0.0034176370969786,281855.800129,0.0368030272403563,0.932188500927594,0.00237710204896743,0.0286313697830825,6.37314334117395
