"","Family","Status","Abundance.average","overall.max"
"292"," Phaselicystidaceae","Healthy",9.98088411170506e-07,9.98088411170506e-07
"293"," Phormidiaceae","Healthy",9.46339461175761e-08,9.46339461175761e-08
"294"," Phycisphaeraceae","Healthy",9.8470440740265e-07,9.8470440740265e-07
"295"," Pirellulaceae","Healthy",0.000185471480323994,0.000185471480323994
"296"," Planctomycetales","Healthy",6.2663007743805e-07,6.2663007743805e-07
"297"," Planococcaceae","Healthy",0.00748809808999549,0.00748809808999549
"298"," Pleomorphomonadaceae","Healthy",4.66037371226107e-06,4.66037371226107e-06
"299"," Polyangia","Healthy",1.07264464398495e-06,1.07264464398495e-06
"300"," Polyangiaceae","Healthy",5.1625370511025e-06,5.1625370511025e-06
"301"," Porphyromonadaceae","Healthy",0.000462812939036218,0.000462812939036218
"302"," Porticoccaceae","Healthy",4.25231150511384e-06,4.25231150511384e-06
"303"," Prevotellaceae","Healthy",0.0117612298112387,0.0117612298112387
"304"," Prolixibacteraceae","Healthy",1.60949512412233e-05,1.60949512412233e-05
"305"," Promicromonosporaceae","Healthy",1.06254001046384e-05,1.06254001046384e-05
"306"," Propionibacteriaceae","Healthy",3.81711991684877e-06,3.81711991684877e-06
"307"," Proteobacteria","Healthy",0,0
"308"," Pseudohongiellaceae","Healthy",1.65042306532251e-07,1.65042306532251e-07
"309"," Pseudomonadaceae","Healthy",0.0509786026264319,0.0509786026264319
"310"," Pseudonocardiaceae","Healthy",0.00015934039214645,0.00015934039214645
"311"," Puniceicoccaceae","Healthy",3.61691316064105e-06,3.61691316064105e-06
"312"," Puniceispirillales_Incertae_Sedis","Healthy",0,0
"313"," Pyrinomonadaceae","Healthy",5.55416420529329e-07,5.55416420529329e-07
"314"," R7C24","Healthy",3.43326355511207e-06,3.43326355511207e-06
"315"," RBG-13-54-9","Healthy",0,0
"316"," Reyranellaceae","Healthy",4.95574519540503e-06,4.95574519540503e-06
"317"," RF39","Healthy",4.75900317490999e-05,4.75900317490999e-05
"318"," Rhizobiaceae","Healthy",0.00344172278499179,0.00344172278499179
"319"," Rhizobiales_Incertae_Sedis","Healthy",9.60193188772042e-06,9.60193188772042e-06
"320"," Rhodanobacteraceae","Healthy",5.46999170919413e-05,5.46999170919413e-05
"321"," Rhodobacteraceae","Healthy",0.00280967350785685,0.00280967350785685
"322"," Rhodocyclaceae","Healthy",1.21410946380212e-05,1.21410946380212e-05
"323"," Rhodomicrobiaceae","Healthy",3.98851149149988e-07,3.98851149149988e-07
"324"," Rhodothermaceae","Healthy",4.98817508663125e-06,4.98817508663125e-06
"325"," Rickettsiaceae","Healthy",5.51535826970316e-06,5.51535826970316e-06
"326"," Rikenellaceae","Healthy",0.000777618514251441,0.000777618514251441
"327"," Rokubacteriales","Healthy",0,0
"328"," Roseiflexaceae","Healthy",2.23096082634671e-06,2.23096082634671e-06
