ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp,animal
Dairy331,Dairy 331,CA,Gold Star Cattle,07/14-15/2022,Healthy,105.1,calf
Dairy332,Dairy 332,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.4,calf
Dairy333,Dairy 333,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.3,calf
Dairy334,Dairy 334,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.1,calf
Dairy335,Dairy 335,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.9,calf
Dairy336,Dairy 336,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.2,calf
Dairy337,Dairy 337,CA,Gold Star Cattle,07/14-15/2022,Healthy,103,calf
Dairy338,Dairy 338,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.8,calf
Dairy34,Dairy 34,IN,Warren,2/20/21,BRD,101.4,calf
Dairy340,Dairy 340,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.5,calf
Dairy341,Dairy 341,CA,Gold Star Cattle,07/14-15/2022,Healthy,102,calf
Dairy342,Dairy 342,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.9,calf
Dairy343,Dairy 343,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.9,calf
Dairy344,Dairy 344,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.6,calf
Dairy345,Dairy 345,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.2,calf
Dairy346,Dairy 346,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.2,calf
Dairy347,Dairy 347,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.3,calf
Dairy348,Dairy 348,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.7,calf
Dairy349,Dairy 349,CA,Gold Star Cattle,07/14-15/2022,Healthy,103.8,calf
Dairy35,Dairy 35,IN,Warren,2/20/21,Healthy,102.3,calf
Dairy351,Dairy 351,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.2,calf
Dairy352,Dairy 352,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.7,calf
Dairy355,Dairy 355,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.8,calf
Dairy356,Dairy 356,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.9,calf
