"","State","Genus","Status","taxa.average","overall.max"
"301","CA"," Comamonas","Healthy",0.00102034657758583,0.00102034657758583
"302","CA"," Conchiformibius","Healthy",3.99360490734171e-06,3.99360490734171e-06
"303","CA"," Conexibacter","Healthy",0,0
"304","CA"," Confluentibacter","Healthy",0,0
"305","CA"," Constrictibacter","Healthy",0,0
"306","CA"," Coprobacter","Healthy",0,0
"307","CA"," Coprococcus","Healthy",0.000114501400486308,0.000114501400486308
"308","CA"," Corallococcus","Healthy",0,0
"309","CA"," Coriobacteriaceae","Healthy",0,0
"310","CA"," Coriobacteriales","Healthy",3.4090430672246e-06,3.4090430672246e-06
"311","CA"," Corticibacter","Healthy",1.81930890223345e-05,1.81930890223345e-05
"312","CA"," Corynebacteriaceae","Healthy",0,0
"313","CA"," Corynebacterium","Healthy",0.0298082526218788,0.0298082526218788
"314","CA"," Coxiella","Healthy",0,0
"315","CA"," CPla-3_termite_group","Healthy",0,0
"316","CA"," CPla-4_termite_group","Healthy",0,0
"317","CA"," Craurococcus-Caldovatus","Healthy",0,0
"318","CA"," Crocinitomicaceae","Healthy",0,0
"319","CA"," Crocinitomix","Healthy",0,0
"320","CA"," Cryobacterium","Healthy",0,0
"321","CA"," Cryomorpha","Healthy",0,0
"322","CA"," Cupriavidus","Healthy",0,0
"323","CA"," Curtobacterium","Healthy",0,0
"324","CA"," Curvibacter","Healthy",0,0
"325","CA"," Cyclobacteriaceae","Healthy",0,0
"326","CA"," Cytophaga","Healthy",0,0
"327","CA"," D05-2","Healthy",0,0
"328","CA"," Defluviicoccus","Healthy",0,0
"329","CA"," Defluviitaleaceae_UCG-011","Healthy",0,0
"330","CA"," Deinococcus","Healthy",0.00220590809790979,0.00220590809790979
"331","CA"," Delftia","Healthy",0,0
"332","CA"," Demequina","Healthy",0,0
"333","CA"," Denitrobacterium","Healthy",1.39989115846243e-06,1.39989115846243e-06
"334","CA"," Dermacoccaceae","Healthy",5.61603846986352e-06,5.61603846986352e-06
"335","CA"," Dermacoccus","Healthy",0,0
"336","CA"," Dermatophilaceae","Healthy",0,0
"337","CA"," Desemzia","Healthy",0.00205732951523671,0.00205732951523671
