"","Family","Status","Abundance.average","overall.max"
"93"," Chitinophagaceae","BRD",0.00234570020685337,0.00234570020685337
"94"," Chlamydiaceae","BRD",7.64020297074875e-05,7.64020297074875e-05
"95"," Chloroflexaceae","BRD",2.61053713479751e-06,2.61053713479751e-06
"96"," Christensenellaceae","BRD",0.00218564169510904,0.00218564169510904
"97"," Chromobacteriaceae","BRD",8.33199095701248e-07,8.33199095701248e-07
"98"," Chroococcidiopsaceae","BRD",3.44595711173202e-05,3.44595711173202e-05
"99"," Chthoniobacteraceae","BRD",1.67469045148742e-05,1.67469045148742e-05
"100"," Chthoniobacterales","BRD",6.84185650765918e-07,6.84185650765918e-07
"101"," Chthonomonadales","BRD",1.04509873683914e-05,1.04509873683914e-05
"102"," Clostridia","BRD",4.10361930359298e-05,4.10361930359298e-05
"103"," Clostridia_UCG-014","BRD",0.000407345386937652,0.000407345386937652
"104"," Clostridia_vadinBB60_group","BRD",0.000154632756983436,0.000154632756983436
"105"," Clostridiaceae","BRD",0.000716068696882608,0.000716068696882608
"106"," Comamonadaceae","BRD",0.00679272677920508,0.00679272677920508
"107"," Coriobacteriaceae","BRD",0.00152110063510665,0.00152110063510665
"108"," Coriobacteriales","BRD",5.18359303837663e-06,5.18359303837663e-06
"109"," Coriobacteriales_Incertae_Sedis","BRD",1.78570578199489e-06,1.78570578199489e-06
"110"," Corynebacteriaceae","BRD",0.0160688789113761,0.0160688789113761
"111"," Corynebacteriales_Incertae_Sedis","BRD",5.64279287644128e-06,5.64279287644128e-06
"112"," Coxiellaceae","BRD",0,0
"113"," CPla-3_termite_group","BRD",0,0
"114"," Crocinitomicaceae","BRD",0.000147296931890926,0.000147296931890926
"115"," Cryomorphaceae","BRD",3.49117788995131e-06,3.49117788995131e-06
"116"," Cyclobacteriaceae","BRD",0.000120205075119781,0.000120205075119781
"117"," Cytophagaceae","BRD",2.3763092790619e-06,2.3763092790619e-06
"118"," D05-2","BRD",2.58630890514524e-06,2.58630890514524e-06
"119"," Deferribacteraceae","BRD",1.74963143864306e-05,1.74963143864306e-05
"120"," Defluviicoccaceae","BRD",0,0
"121"," Defluviitaleaceae","BRD",1.33848546153858e-05,1.33848546153858e-05
"122"," Deinococcaceae","BRD",0.00120818406712506,0.00120818406712506
"123"," Demequinaceae","BRD",0.00016146712773253,0.00016146712773253
"124"," Dermabacteraceae","BRD",0.000591317515010596,0.000591317515010596
"125"," Dermacoccaceae","BRD",5.23362154479882e-06,5.23362154479882e-06
"126"," Dermatophilaceae","BRD",1.0213658163913e-05,1.0213658163913e-05
"127"," Desulfitobacteriaceae","BRD",0,0
"128"," Desulfitobacteriales","BRD",0,0
"129"," Desulfobulbaceae","BRD",2.50659665742203e-06,2.50659665742203e-06
"130"," Desulfocapsaceae","BRD",0,0
"131"," Desulfomicrobiaceae","BRD",0,0
"132"," Desulfomonilaceae","BRD",1.29608748220194e-06,1.29608748220194e-06
"133"," Desulfotomaculales","BRD",1.24737770022969e-07,1.24737770022969e-07
"134"," Desulfovibrionaceae","BRD",0.000121489835790445,0.000121489835790445
"135"," Devosiaceae","BRD",0.000311813085072508,0.000311813085072508
"136"," Dietziaceae","BRD",0.00132354850532005,0.00132354850532005
"137"," Diplorickettsiaceae","BRD",6.25967158382649e-08,6.25967158382649e-08
"138"," Dongiaceae","BRD",0,0
"139"," Dysgonomonadaceae","BRD",0.000293027034174693,0.000293027034174693
"140"," Ectothiorhodospiraceae","BRD",0,0
"141"," Eggerthellaceae","BRD",9.68367748680456e-05,9.68367748680456e-05
"142"," Elusimicrobiaceae","BRD",1.39144037402512e-05,1.39144037402512e-05
"143"," Enterobacterales","BRD",3.18307693129327e-05,3.18307693129327e-05
"144"," Enterobacteriaceae","BRD",0.0123597169250567,0.0123597169250567
"145"," Enterococcaceae","BRD",0.00191339129052786,0.00191339129052786
"146"," env.OPS_17","BRD",3.86436463688434e-06,3.86436463688434e-06
"147"," EPR3968-O8a-Bc78","BRD",1.00404085205983e-06,1.00404085205983e-06
"148"," Erwiniaceae","BRD",0.00107579069905224,0.00107579069905224
"149"," Erysipelatoclostridiaceae","BRD",6.56162055499032e-05,6.56162055499032e-05
"150"," Erysipelotrichaceae","BRD",0.000418263388521978,0.000418263388521978
"151"," Eubacteriaceae","BRD",0.00010277775808471,0.00010277775808471
"152"," Eubacteriales","BRD",1.90841258414913e-05,1.90841258414913e-05
"153"," Euzebyaceae","BRD",0,0
"154"," Exiguobacteraceae","BRD",0.000759443680448254,0.000759443680448254
"155"," F082","BRD",2.46232337446645e-07,2.46232337446645e-07
"156"," Ferrovibrionaceae","BRD",0,0
"157"," Fibrobacteraceae","BRD",4.04529108696256e-06,4.04529108696256e-06
"158"," Fimbriimonadaceae","BRD",3.39051906072759e-06,3.39051906072759e-06
"159"," Firmicutes","BRD",3.85285997720616e-05,3.85285997720616e-05
"160"," Flavobacteriaceae","BRD",0.00941565285728052,0.00941565285728052
"161"," Fodinicurvataceae","BRD",1.55432681274555e-06,1.55432681274555e-06
"162"," Frankiales","BRD",2.40194008939738e-06,2.40194008939738e-06
"163"," Fusibacteraceae","BRD",2.79489593309802e-06,2.79489593309802e-06
"164"," Fusobacteriaceae","BRD",0.00465788814585019,0.00465788814585019
"165"," Gaiellaceae","BRD",2.46182492843923e-06,2.46182492843923e-06
"166"," Gammaproteobacteria","BRD",2.35261934886969e-05,2.35261934886969e-05
"167"," Garciellaceae","BRD",1.29782382402891e-06,1.29782382402891e-06
"168"," Gastranaerophilales","BRD",0.000344331578357773,0.000344331578357773
"169"," Gemellaceae","BRD",5.84802519525192e-06,5.84802519525192e-06
"170"," Geminicoccaceae","BRD",0,0
"171"," Gemmataceae","BRD",6.16380205303957e-06,6.16380205303957e-06
"172"," Gemmatimonadaceae","BRD",1.3623847578269e-06,1.3623847578269e-06
"173"," Geodermatophilaceae","BRD",5.81066081877072e-05,5.81066081877072e-05
"174"," Gitt-GS-136","BRD",2.92462082383524e-06,2.92462082383524e-06
"175"," Glycomycetaceae","BRD",3.34838138977306e-06,3.34838138977306e-06
"176"," Gracilibacteria","BRD",2.16461875365297e-05,2.16461875365297e-05
"177"," Hafniaceae","BRD",7.03297197923304e-07,7.03297197923304e-07
"178"," Hahellaceae","BRD",0,0
"179"," Halanaerobiaceae","BRD",6.09184917961901e-06,6.09184917961901e-06
"180"," Halieaceae","BRD",2.2329090603127e-06,2.2329090603127e-06
"181"," Halomonadaceae","BRD",0.00427047126739448,0.00427047126739448
"182"," HAW-RM37-2","BRD",1.64626877481573e-05,1.64626877481573e-05
"183"," Helicobacteraceae","BRD",2.51387331410666e-05,2.51387331410666e-05
"184"," Herpetosiphonaceae","BRD",1.71583320728559e-06,1.71583320728559e-06
"185"," Holophagaceae","BRD",0,0
"186"," Holosporaceae","BRD",1.16253695518809e-05,1.16253695518809e-05
"187"," Hungateiclostridiaceae","BRD",4.2552397176947e-05,4.2552397176947e-05
"188"," Hymenobacteraceae","BRD",0.000390214526930692,0.000390214526930692
