Name,ID,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,quality,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Beef 474,Beef474,BRD,IN,Farm3,8/19/20,103.2,413587557.1,3.788644467,6146.734668,1,2.826074803,0,670,2.230448921,0,170,4.837232967,1,68743.71,Clean,1.49E-05,0.000166213,1.62E-06,4.11E-07,75730.44467,0.081165966,0.907742062,0.008847168,0.002244804,8.616567465
Beef 475,Beef475,BRD,IN,Farm3,8/19/20,103.8,50917761.81,3.338949425,2182.475742,1,3.232836078,1,1709.37,4.026891828,1,10638.78,5.424622044,1,265841.05,Clean,4.29E-05,0.005220989,3.36E-05,0.00020894,280371.6757,0.007784223,0.948173703,0.0060968,0.037945274,7.706869314
Beef 476,Beef476,Healthy,IN,Farm3,8/26/20,105,92275946.27,3.890066913,7763.667247,1,2.826074803,0,670,3.3166412,1,2073.2,3.522904368,1,3333.53,Clean,8.41E-05,3.61E-05,7.26E-06,2.25E-05,13840.39725,0.560942515,0.240855081,0.048409015,0.149793388,7.965088512
Beef 477,Beef477,Healthy,IN,Farm3,8/26/20,105.1,56382533.03,3.475704618,2990.230163,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Clean,5.30E-05,3.37E-06,1.19E-05,3.02E-06,4020.230163,0.743795763,0.047260976,0.166657125,0.042286136,7.751144591
Beef 478,Beef478,Healthy,IN,Farm3,8/26/20,103.4,258866838.4,5.957269946,906295.7546,1,5.395480492,1,248588.19,4.472234397,1,29664.32,6.04866948,1,1118586.26,Clean,0.003501011,0.004321088,0.000960294,0.000114593,2303134.525,0.393505349,0.48567995,0.107934724,0.012879977,8.413076421
Beef 479,Beef479,BRD,IN,Farm3,8/26/20,104.2,91600579.32,6.915696226,8235618.6,1,6.021900711,1,1051721.4,4.07591322,1,11910.04,4.871823225,1,74442.89,Clean,0.089907931,0.00081269,0.011481602,0.000130021,9373692.93,0.878588478,0.007941682,0.112199259,0.001270581,7.961898225
Beef 48,Beef48,BRD,TX,Farm1,3/16/21,104.2,38648.96,7.663503074,46079003.06,1,5.714778438,1,518535.4327,4.682024184,1,48086.61249,5.392875979,1,247101.84,Clean,1192.244321,6.393492606,13.41654297,1.244189041,46892726.95,0.98264712,0.005269513,0.011057907,0.00102546,4.587149049
Beef 480,Beef480,Healthy,IN,Farm3,8/26/20,102.7,37935904.73,7.089242287,12281241.93,1,5.600334885,1,398414.27,3.080262017,1,1202.99,6.120848496,1,1320834.78,Clean,0.323736629,0.034817537,0.0105023,3.17E-05,14001693.97,0.877125436,0.094333927,0.028454719,8.59E-05,7.579050457
Beef 481,Beef481,BRD,IN,Farm3,8/26/20,102.7,218284274.4,5.553336882,357550.0817,1,6.340717067,1,2191376.84,3.794163773,1,6225.35,6.686256102,1,4855747.57,Clean,0.001638002,0.022245064,0.010039096,2.85E-05,7410899.842,0.048246514,0.655217001,0.295696459,0.000840026,8.339022451
Beef 482,Beef482,Healthy,IN,Farm3,8/26/20,103.5,453906252.9,5.03889796,109369.9366,1,3.556377289,1,3600.62,5.767229059,1,585098.6,5.907994799,1,809086.21,Clean,0.000240953,0.001782496,7.93E-06,0.00128903,1507155.367,0.072567128,0.536829996,0.002389017,0.388213858,8.656966166
Beef 483,Beef483,BRD,IN,Farm3,8/26/20,105.2,588721469.9,7.11379809,12995652.51,1,6.030474685,1,1072691.12,4.507632058,1,32183.41,6.505120748,1,3199784.63,Clean,0.022074365,0.005435142,0.001822069,5.47E-05,17300311.67,0.751180254,0.184955317,0.06200415,0.001860279,8.769909875
Beef 484,Beef484,BRD,IN,Farm3,8/26/20,102.9,123891960.5,6.833540531,6816171.841,1,5.328923639,1,213266.99,4.00001824,1,10000.42,5.180196263,1,151424.54,Clean,0.055017063,0.001222231,0.001721395,8.07E-05,7190863.791,0.947893332,0.021057907,0.029658049,0.001390712,8.093043129
Beef 485,Beef485,Healthy,IN,Farm3,8/26/20,103.3,32998602.79,6.657291481,4542463.866,1,6.203191027,1,1596581.26,2.230448921,0,170,5.411073869,1,257675.94,Clean,0.137656249,0.007808692,0.048383299,5.15E-06,6396891.066,0.710104927,0.040281433,0.249587064,2.66E-05,7.518495565
Beef 486,Beef486,Healthy,IN,Farm3,8/26/20,104.1,306620962.9,7.256851002,18065542.25,1,6.709819904,1,5126487.52,3.39825606,1,2501.82,5.814619351,1,652558.35,Clean,0.058918158,0.002128225,0.016719299,8.16E-06,23847089.94,0.757557517,0.027364276,0.214973296,0.000104911,8.486601845
Beef 487,Beef487,BRD,IN,Farm3,8/26/20,103.4,36200481.6,4.338807628,21817.63281,1,5.105248235,1,127423.12,5.481351216,1,302936.23,6.258718833,1,1814340.66,Clean,0.000602689,0.050119241,0.003519929,0.008368293,2266517.643,0.009626059,0.800497038,0.056219779,0.133657124,7.55871436
Beef 488,Beef488,Healthy,IN,Farm3,8/26/20,103.4,92030483.48,7.375901646,23763020.69,1,2.826074803,0,670,4.050831991,1,11241.7,6.962457663,1,9171865.19,Clean,0.258208148,0.099661165,7.28E-06,0.000122152,32946797.58,0.721254338,0.278384118,2.03E-05,0.000341208,7.963931708
Beef 489,Beef489,Healthy,IN,Farm3,9/10/20,102.9,241560169.6,3.698636724,4996.164436,1,2.826074803,0,670,3.822936571,1,6651.76,3.745223176,1,5561.9,Clean,2.07E-05,2.30E-05,2.77E-06,2.75E-05,17879.82444,0.279430285,0.311071287,0.037472404,0.372026024,8.383025328
Beef 49,Beef49,BRD,TX,Farm1,3/18/21,105,783724921.3,7.094974068,12444403.04,1,5.426215239,1,266818.0701,4.336293488,1,21691.69491,5.208406058,1,161586.8659,Clean,0.015878534,0.000206178,0.000340449,2.77E-05,12894499.67,0.965093905,0.012531457,0.020692394,0.001682244,8.894163657
Beef 490,Beef490,Healthy,IN,Farm3,9/10/20,104,110713882.1,4.559542729,36269.59687,1,3.758350882,1,5732.59,3.821707378,1,6632.96,5.332275438,1,214919.31,Clean,0.000327598,0.001941214,5.18E-05,5.99E-05,263554.4569,0.137617088,0.815464525,0.021751065,0.025167322,8.044202083
Beef 491,Beef491,BRD,IN,Farm3,9/10/20,103.6,371914405,6.403400429,2531631.142,1,5.080366157,1,120327.85,3.365060968,1,2317.72,5.49051527,1,309396.41,Clean,0.006807026,0.000831902,0.000323536,6.23E-06,2963673.122,0.854220772,0.104396267,0.040600918,0.000782043,8.570443001
