# Constructed from biom file																																																																																																					
#OTU ID	Dairy101	Dairy102	Dairy103	Dairy104	Dairy105	Dairy106	Dairy107	Dairy108	Dairy109	Dairy110	Dairy111	Dairy112	Dairy113	Dairy114	Dairy115	Dairy116	Dairy117	Dairy118	Dairy119	Dairy120	Dairy121	Dairy122	Dairy123	Dairy124	Dairy125	Dairy126	Dairy127	Dairy128	Dairy129	Dairy130	Dairy131	Dairy132	Dairy133	Dairy134	Dairy135	Dairy136	Dairy137	Dairy138	Dairy139	Dairy140	Dairy141	Dairy142	Dairy143	Dairy144	Dairy145	Dairy146	Dairy147	Dairy148	Dairy149	Dairy150	Dairy151	Dairy152	Dairy153	Dairy154	Dairy155	Dairy156	Dairy157	Dairy158	Dairy159	Dairy160	Dairy161	Dairy162	Dairy163	Dairy164	Dairy165	Dairy166	Dairy167	Dairy168	Dairy169	Dairy170	Dairy171	Dairy172	Dairy173	Dairy174	Dairy177	Dairy178	Dairy179	Dairy180	Dairy181	Dairy182	Dairy183	Dairy184	Dairy185	Dairy186	Dairy187	Dairy188	Dairy189	Dairy190	Dairy191	Dairy192	Dairy193	Dairy194	Dairy195	Dairy196	Dairy197	Dairy198	Dairy199	Dairy200	Dairy201	Dairy202	Dairy203
ASV81	1848	7037	115	6077	745	24	1164	567	2320	1976	100	4872	66	216	87	4403	101	0	2634	323	27	1742	282	431	1387	23	222	294	200	988	6828	145	61	211	263	767	0	2587	464	2068	106	97	42	283	3190	856	0	0	0	156	1357	135	63	39	4047	46	544	107	90	199	16	211	607	0	112	0	218	256	2620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11377	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7549	0	10	0	0	0	0	0	23	0	3080	0	0	0	0	0	22	0	0	7	0	0	0	0	362	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	32	0	0	0	0	0	0	1985	0	0	0	0	58	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6452	353	0	113	0	0	0	0	0	0	0	461	0	0	6	0	0	0	4462	0	94	0	0	0	0	0	0	0	0	0	0	0	73	52	1209	0	0	0	0	516	0	0	12	0	0	0	0	0	0	0	0	0	0	11732	2592	0	946	400	830	0	0	0	0	0	4103	0	0	7	0	0	101	0	0	0	0	264	57	0	0	179	0	14	76	11	11	0	0	32	0	0	0	0	0	0	20	10	0	0	0	51	0	0
ASV2387	15	287	0	0	416	0	52	43	31	0	0	48	0	179	0	21	291	0	295	292	0	0	78	0	201	0	0	33	199	227	0	74	0	0	45	81	0	0	104	259	0	0	0	63	0	440	0	0	0	0	33	17	0	0	733	0	96	28	43	0	0	0	45	0	47	0	80	0	90	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	12	0	0	59	80	0	1065	33	0	0	0	0	0	0	0
ASV8084	40	0	29	0	0	73	0	0	0	0	453	0	245	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	50	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	39	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV12013	130	383	2985	5463	280	896	638	0	436	1058	62	1101	648	148	0	133	0	476	99	79	52	2545	38	0	312	165	0	298	171	187	2604	91	1652	1385	1193	198	764	2511	348	243	230	2573	38	997	126	313	533	0	3966	2894	1113	375	89	0	535	4860	110	0	0	0	1052	87	1278	0	0	898	47	284	164	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	283	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0
ASV9114	0	0	583	0	89	0	177	111	0	0	664	86	2105	0	854	48	770	19	0	0	50	244	0	271	197	50	83	100	0	82	245	614	80	869	0	0	58	0	0	0	56	0	0	0	71	0	2971	0	0	18	72	0	0	0	82	229	37	0	145	0	114	313	361	0	588	0	0	0	324	0	1764	7721	0	911	0	279	7	0	0	411	2251	573	738	107	0	290	2069	1933	1181	765	948	827	0	0	1697	567	415	212	937	1634	1515
ASV3082	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2158	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	4	0	5491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	92	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
ASV4010	438	2835	0	484	0	60	98	2238	1111	86	0	177	128	42	1179	492	769	0	781	21	49	320	3454	351	881	0	112	89	0	291	107	0	45	0	38	91	0	30	2	388	143	7	0	118	2309	338	138	0	0	0	1524	0	0	0	1658	155	92	0	3145	0	0	120	109	8	482	0	29	90	2011	56	1071	372	0	3058	64	1117	0	72	47	0	231	458	0	0	0	0	3480	791	925	1160	1161	1835	645	812	0	0	0	0	0	0	153
