# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Dairy317,Dairy318,Dairy320,Dairy321,Dairy322,Dairy323,Dairy324,Dairy325,Dairy326,Dairy327,Dairy328,Dairy329,Dairy330,Dairy331,Dairy332,Dairy333,Dairy334,Dairy335,Dairy336,Dairy337,Dairy338,Dairy340,Dairy341,Dairy342,Dairy343,Dairy344,Dairy345,Dairy346,Dairy347,Dairy348,Dairy349,Dairy351,Dairy352,Dairy355,Dairy356,Dairy357,Dairy358,Dairy359,Dairy360,Dairy361,Dairy362,Dairy363,Dairy364,Dairy365,Dairy366,Dairy367,Dairy368,Dairy369,Dairy370,Dairy372,Dairy373,Dairy374,Dairy375,Dairy376,Dairy377,Dairy378,Dairy379,Dairy381,Dairy382,Dairy383,Dairy384,Dairy385,Dairy386,Dairy387,Dairy388,Dairy389,Dairy390,Dairy391,Dairy392,Dairy393,Dairy394,Dairy395,Dairy396,Dairy398,Dairy401,Dairy402,Dairy403,Dairy404,Dairy405,Dairy406,Dairy407,Dairy408,Dairy409,Dairy410,Dairy411,Dairy412,Dairy413,Dairy414,Dairy415,Dairy416,Dairy417,Dairy418,Dairy419,Dairy420,Dairy421
ASV8836,462,1600,14,0,0,0,0,0,0,0,0,1794,1003,0,4086,0,0,0,34,0,137,0,0,0,0,0,0,37,63429,60,0,0,0,0,0,0,600,0,6,0,0,326,0,285,0,0,0,0,1869,0,0,23,0,41,0,0,0,0,773,0,85,0,0,171,0,0,183,0,0,0,0,0,0,0,0,1410,1130,6529,0,0,0,1230,2801,0,1950,760,0,0,0,119,0,36,14,0,0
ASV8500,8135,0,0,0,47,68,0,0,196,0,27,14,0,0,0,0,0,15,0,6038,0,18,0,0,0,0,0,0,0,1105,169,0,73,0,0,11089,0,0,0,0,4,0,116,0,0,141,7793,0,0,0,1315,0,373,0,0,0,1965,0,78,17,0,4365,0,6,33,0,1980,0,3652,0,0,0,0,0,17959,0,346,1157,44,0,59,0,742,0,0,2631,0,32,0,0,0,0,0,0,0
ASV1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV182,217,23,18341,30,430,279,0,15,434,150,89,1426,1721,46,1035,2447,276,472,284,94,370,221,867,2483,63,458,691,864,95,42,154,902,30,585,1613,108,2343,1731,2347,389,179,0,130,456,0,644,127,250,11,0,145,1699,248,54,103,589,158,433,0,134,233,0,485,889,1565,1595,0,786,0,336,1470,6,2848,589,1828,136,1831,526,0,398,5241,211,3055,249,34,416,741,48,0,0,864,68,221,0,0
ASV5814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7627,0,0,0,0,0,0,220,59,0,0,2336,0,0,434,0,0,0,0,0,15666,0,0,0,157,339,0,0,0,0,488,0,0,0,0,0,9031,0,144,0,0,371,3501,13,0,0,27,0,0,0,292,95,0,0,0,385,175,0,0,212,0,0,360,0,0,0,0,105,0,0,0,0,287,0,0,0,3533,0,1557,0,0,0,21066,151,0,7584,2014,429,0,1006,422,0,117,0,0,6
ASV10741,4165,5005,0,28,0,0,0,0,1355,0,0,0,17,0,0,0,0,173,13,7371,0,101,2133,0,14,15,66,9,29,0,0,0,0,45,0,0,100,6314,0,54,0,0,1532,96,0,40,16,0,0,0,13,0,3709,2140,109,0,644,0,0,141,121,43,0,0,192,3742,61,0,0,83,0,0,0,0,1818,433,11895,5878,0,0,18,0,8637,148,0,679,81,113,24,0,34,0,80,0,0
ASV81,0,921,0,0,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11377,122,0,3595,337,778,471,0,0,140,98,122,880,0,107,0,73,190,0,152,0,437,2349,64,3832,0,57,3545,3562,0,247,739,1070,0,275,42,0,542,164,2016,341,0,0,1622,40,0,109,0,457,0,0,0,3787,153,0,0,0,286,267,30,157,234,0,2003,0,2421,2584,0,925,0,144,866,0,1752,1803,1564,49,7282,1113,0,1077,0,0,4727,417,0,0,1497,436,40,0,1122,0,994,0,0
ASV7549,570,0,275,0,723,440,0,2431,0,120,16,375,0,0,0,0,108,0,518,0,0,0,0,10203,0,0,0,0,0,5,202,30,0,0,3090,0,0,0,127,0,0,31,649,60,2367,0,0,14,0,10894,0,0,516,0,0,0,118,0,3582,91,0,0,1760,23,0,215,0,0,0,0,12431,0,0,163,659,1841,876,0,0,88,0,0,0,59,0,0,0,0,723,0,69,0,0,0,0
